CBSA_CODE,YEAR,MONTH,unemployment_rate_monthly
10180,2013,12,4.6
10180,2014,1,4.8
10180,2014,2,4.9
10180,2014,3,4.7
10180,2014,4,4.0
10180,2014,5,4.4
10180,2014,6,4.8
10180,2014,7,4.9
10180,2014,8,4.6
10180,2014,9,4.3
10180,2014,10,4.0
10180,2014,11,3.9
10180,2014,12,3.5
10180,2015,1,4.1
10180,2015,2,4.0
10180,2015,3,3.9
10180,2015,4,3.5
10180,2015,5,3.9
10180,2015,6,4.2
10180,2015,7,4.2
10180,2015,8,3.9
10180,2015,9,3.9
10180,2015,10,3.8
10180,2015,11,3.8
10180,2015,12,3.5
10180,2016,1,3.8
10180,2016,2,3.8
10180,2016,3,3.9
10180,2016,4,3.5
10180,2016,5,3.7
10180,2016,6,4.2
10180,2016,7,4.3
10180,2016,8,4.1
10180,2016,9,4.2
10180,2016,10,3.9
10180,2016,11,3.8
10180,2016,12,3.8
10180,2017,1,4.2
10180,2017,2,4.2
10180,2017,3,3.8
10180,2017,4,3.4
10180,2017,5,3.7
10180,2017,6,4.0
10180,2017,7,4.0
10180,2017,8,3.9
10180,2017,9,3.4
10180,2017,10,3.2
10180,2017,11,3.3
10180,2017,12,3.2
10180,2018,1,3.6
10180,2018,2,3.6
10180,2018,3,3.4
10180,2018,4,3.1
10180,2018,5,3.0
10180,2018,6,3.7
10180,2018,7,3.5
10180,2018,8,3.4
10180,2018,9,3.3
10180,2018,10,3.1
10180,2018,11,3.1
10180,2018,12,3.1
10180,2019,1,3.5
10180,2019,2,3.2
10180,2019,3,3.1
10180,2019,4,2.5
10180,2019,5,2.7
10180,2019,6,3.3
10180,2019,7,3.3
10180,2019,8,3.2
10180,2019,9,2.9
10180,2019,10,2.8
10180,2019,11,2.8
10180,2019,12,2.6
10180,2020,1,3.0
10180,2020,2,2.9
10180,2020,3,4.4
10180,2020,4,8.3
10180,2020,5,8.2
10180,2020,6,7.5
10180,2020,7,6.9
10180,2020,8,5.5
10180,2020,9,5.5
10180,2020,10,4.8
10180,2020,11,5.0
10180,2020,12,5.0
10180,2021,1,5.4
10180,2021,2,5.4
10180,2021,3,5.2
10180,2021,4,4.5
10180,2021,5,4.4
10180,2021,6,5.1
10180,2021,7,4.7
10180,2021,8,4.4
10180,2021,9,4.2
10180,2021,10,4.1
10180,2021,11,3.8
10180,2021,12,3.4
10180,2022,1,4.0
10180,2022,2,3.8
10180,2022,3,3.3
10180,2022,4,3.1
10180,2022,5,3.2
10180,2022,6,3.8
10180,2022,7,3.6
10180,2022,8,3.5
10180,2022,9,3.3
10180,2022,10,3.4
10180,2022,11,3.4
10180,2022,12,3.3
10180,2023,1,4.2
10180,2023,2,4.0
10180,2023,3,3.5
10180,2023,4,3.0
10180,2023,5,3.3
10180,2023,6,3.8
10180,2023,7,3.7
10180,2023,8,3.7
10180,2023,9,3.4
10180,2023,10,3.2
10180,2023,11,3.0
10180,2023,12,3.0
10180,2024,1,3.6
10180,2024,2,3.7
10180,2024,3,3.3
10180,2024,4,2.9
10180,2024,5,3.2
10180,2024,6,3.9
10180,2024,7,3.9
10180,2024,8,3.8
10180,2024,9,3.4
10180,2024,10,3.4
10180,2024,11,3.4
10180,2024,12,2.9
10180,2025,1,3.5
10180,2025,2,3.7
10180,2025,3,3.3
10180,2025,4,3.0
10180,2025,5,3.4
10180,2025,6,3.4
10180,2025,7,3.6
10180,2025,8,4.0
10180,2025,9,3.7
10180,2025,11,3.5
10180,2025,12,3.1
10220,2009,1,6.3
10220,2009,2,5.6
10220,2009,3,5.3
10220,2009,4,5.3
10220,2009,5,5.8
10220,2009,6,6.1
10220,2009,7,5.3
10220,2009,8,5.6
10220,2009,9,5.2
10220,2009,10,5.4
10220,2009,11,5.1
10220,2009,12,5.1
10220,2010,1,6.8
